n_observations,mean_return,std_return,annual_return,annual_volatility,var_95,cvar_95,var_99,cvar_99,sharpe_ratio,sortino_ratio,skewness,kurtosis,percentile_5,percentile_95,max_drawdown,duration_days,current_drawdown,regime,frequency_pct
1263,0.0010465379851550365,0.017377343280322623,0.2637275722590692,0.2758567726003982,-0.027439503898486026,-0.03787966306484834,-0.04547171644045923,-0.053282372107900274,0.8835294126061901,1.3280121657697461,0.009108834695541562,1.4217737615479704,-0.02743950389848603,0.028106107729341006,-0.39272673743274444,197,-0.0037950967413130864,0,33.27186512118019
495,9.119646909030364e-05,0.02353021903753403,0.022981510210756517,0.3735306472091559,-0.038372478461217205,-0.053470893266427996,-0.06331793034292493,-0.07080470847847077,0.007981969439543846,0.011635691330771608,-0.020171596942055333,1.4038741727581696,-0.03837247846121721,0.03519405418053833,-0.29820280557310164,81,-0.00700233730183842,1,13.040042149631189
1822,0.0012333676026681569,0.012063378065943799,0.31080863587237556,0.19150019000303178,-0.01834701833506636,-0.025875460866678593,-0.0282433947944583,-0.0361498862226574,1.5185814482365345,2.33505709773326,-0.009212666999073506,1.3821466483072884,-0.01834701833506636,0.020478865073935128,-0.42954331673668883,241,-0.028374196398160703,2,47.997892518440466
216,-0.0012505116466881557,0.03593919964552523,-0.3151289349654152,0.5705171074845626,-0.05505716130436049,-0.09185102899620076,-0.10478226950949715,-0.12483892288819265,-0.5874125956415485,-0.7909661022660828,-0.14184254793418322,3.0967830289958744,-0.05505716130436053,0.04977330127123347,-0.25886898910540157,44,-0.05140169408242534,3,5.690200210748156
