regime,n_samples,frequency_pct,mean_return,std_return,annual_return,annual_volatility,sharpe_ratio,regime_name
0,2065,54.39936775553213,0.0009089019592613192,0.006819494174160234,0.22904329373385243,0.10825611391249065,2.1157538863717265,Bull Market
1,992,26.132771338250787,0.0013262128267126558,0.007892225727758061,0.3342056323315893,0.1252851993986015,2.6675587693985814,Bull Market
2,298,7.8503688092729185,0.0049462376026984875,0.015242512411243199,1.246451875880019,0.24196738317578995,5.1513218828112395,Sideways Market
3,441,11.61749209694415,-0.006059103096852739,0.020875003870537732,-1.5268939804068902,0.33138041315372163,-4.607677218685192,Bear Market
