Ticker,Strategy,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,N Trades,Win Rate
SPY,Bull Market Only,119.61993133957391,5.353490887472234,0.3266162489899871,-23.00126487785962,58,60.3448275862069
SPY,Regime Rotation,2.955489827507485,0.19326237621350995,-0.5591077213656772,-11.503795268383824,1,100.0
SPY,Momentum + Regime,92.96595589383234,4.4537667747667875,0.23385809314670436,-24.627436948848036,237,43.459915611814345
QQQ,Bull Market Only,237.66452017361152,8.400813506477123,0.4742655643288595,-22.586342817027504,33,72.72727272727273
QQQ,Regime Rotation,1.2981816284674874,0.0855373763499534,-1.7525812946367911,-4.261246853355937,1,100.0
QQQ,Momentum + Regime,96.89828219926908,4.593543229798813,0.1978644120445303,-29.91390495510298,252,40.87301587301587
AAPL,Bull Market Only,600.822590372215,13.77691346056662,0.804350872640663,-20.13054205776989,27,74.07407407407408
AAPL,Regime Rotation,2100.8441045273785,22.743447868186074,0.8149714221564768,-41.808646110729065,8,87.5
AAPL,Momentum + Regime,651.1409731150185,14.301076201030627,0.7120378616777131,-33.41730559091335,219,38.35616438356164
TSLA,Bull Market Only,1451.2299062259813,20.65144333954163,0.6187582576712914,-60.62653853820689,14,78.57142857142857
TSLA,Regime Rotation,44197.936456498624,51.7795525089809,1.0215735292711428,-64.43061421691547,45,62.22222222222222
TSLA,Momentum + Regime,4865.000341266066,30.65602939272798,0.8167923504917673,-43.16206462677642,184,39.130434782608695
