,To_Regime_0,To_Regime_1,To_Regime_2,To_Regime_3
From_Regime_0,0.9807171393391786,3.0467974249060728e-80,0.019282860660821313,3.7508924882060154e-64
From_Regime_1,3.168048349953957e-09,0.9752191650097343,0.0013855544607601989,0.02339527736145714
From_Regime_2,0.0087843778029804,2.654448496430589e-10,0.9668545229106394,0.02436109902093524
From_Regime_3,0.001668299759711412,0.02967279810080485,0.017735943870763386,0.9509229582687203
